Household 202,Household 210,Quantile,Datetime
0.8183358282435157,1.1935339898565922,0.5,2015-07-19T00:15:00Z
0.8031527498607486,1.1284266731361376,0.5,2015-07-19T00:45:00Z
0.6807763751096788,0.9866155983235332,0.5,2015-07-19T01:15:00Z
0.4647648229803654,0.764321561866814,0.5,2015-07-19T01:45:00Z
0.25785249163457014,0.5210007916499749,0.5,2015-07-19T02:15:00Z
0.1530522322139225,0.3407093281379723,0.5,2015-07-19T02:45:00Z
0.15121441187753673,0.2550104371247716,0.5,2015-07-19T03:15:00Z
0.1892288868585753,0.22741671392049578,0.5,2015-07-19T03:45:00Z
0.2001246409253757,0.2089160140397473,0.5,2015-07-19T04:15:00Z
0.16385869218723256,0.18739073839128131,0.5,2015-07-19T04:45:00Z
0.1176074931659416,0.1744051073181484,0.5,2015-07-19T05:15:00Z
0.10906700586985861,0.16722515245146896,0.5,2015-07-19T05:45:00Z
0.14922550194839995,0.14985147020961395,0.5,2015-07-19T06:15:00Z
0.20382950625448532,0.11789774302257644,0.5,2015-07-19T06:45:00Z
0.2244762043868829,0.08301698635307919,0.5,2015-07-19T07:15:00Z
0.19839071792999008,0.05957073425332068,0.5,2015-07-19T07:45:00Z
0.1542064644872781,0.0547147713113932,0.5,2015-07-19T08:15:00Z
0.11750230339450603,0.06881012541355906,0.5,2015-07-19T08:45:00Z
0.09016814179587615,0.09692337632713138,0.5,2015-07-19T09:15:00Z
0.06782640047523823,0.12455333776516832,0.5,2015-07-19T09:45:00Z
0.05072336177928064,0.1325615583867055,0.5,2015-07-19T10:15:00Z
0.040109175322255934,0.11846971767048048,0.5,2015-07-19T10:45:00Z
0.03544661337699961,0.10266851204572106,0.5,2015-07-19T11:15:00Z
0.035551128922999324,0.10345109014766393,0.5,2015-07-19T11:45:00Z
0.038760770807797634,0.11719377285540511,0.5,2015-07-19T12:15:00Z
0.042154735333230345,0.12642206509603235,0.5,2015-07-19T12:45:00Z
0.04428094904516674,0.11879414357590644,0.5,2015-07-19T13:15:00Z
0.04714897808091943,0.09818109552524598,0.5,2015-07-19T13:45:00Z
0.05271288358708677,0.07896357061908536,0.5,2015-07-19T14:15:00Z
0.06037524452989325,0.07081796840277854,0.5,2015-07-19T14:45:00Z
0.06849615966105016,0.07246049800910649,0.5,2015-07-19T15:15:00Z
0.07553288930694431,0.07704734474676285,0.5,2015-07-19T15:45:00Z
0.08060035450894694,0.0788638197416364,0.5,2015-07-19T16:15:00Z
0.08360524698331127,0.07633918154601244,0.5,2015-07-19T16:45:00Z
0.084451134831264,0.07093860776721381,0.5,2015-07-19T17:15:00Z
0.08387084698991747,0.06379575237693105,0.5,2015-07-19T17:45:00Z
0.08388550846080539,0.05549443416366627,0.5,2015-07-19T18:15:00Z
0.08537854221979782,0.048075713691283425,0.5,2015-07-19T18:45:00Z
0.08810691992830685,0.04369523974794337,0.5,2015-07-19T19:15:00Z
0.09368223538177171,0.04261787136186657,0.5,2015-07-19T19:45:00Z
0.10572491187667661,0.04420879838037106,0.5,2015-07-19T20:15:00Z
0.12554736581616263,0.04815723744744615,0.5,2015-07-19T20:45:00Z
0.14518729292716234,0.05404101189947466,0.5,2015-07-19T21:15:00Z
0.14855441151898335,0.06082326096768411,0.5,2015-07-19T21:45:00Z
0.12852255982792618,0.06710510013752245,0.5,2015-07-19T22:15:00Z
0.096869453233689215,0.07163131664804079,0.5,2015-07-19T22:45:00Z
0.0693083819774673,0.07401154699735069,0.5,2015-07-19T23:15:00Z
0.05117942677195051,0.07486585211447673,0.5,2015-07-19T23:45:00Z
0.7501521325291889,1.2879151768647226,0.5,2015-07-20T00:15:00Z
0.7271242503879003,1.2059879349861993,0.5,2015-07-20T00:45:00Z
0.6155520873268931,1.0287984706530393,0.5,2015-07-20T01:15:00Z
0.43210845904199857,0.7738706683920485,0.5,2015-07-20T01:45:00Z
0.26455465025776803,0.5227770207201646,0.5,2015-07-20T02:15:00Z
0.179362923315268,0.348676912534331,0.5,2015-07-20T02:45:00Z
0.15639339071275135,0.26400087716898973,0.5,2015-07-20T03:15:00Z
0.14180655251178667,0.23934542765331335,0.5,2015-07-20T03:45:00Z
0.11448322105649596,0.23603012954285604,0.5,2015-07-20T04:15:00Z
0.08888506580714077,0.2328166272233082,0.5,2015-07-20T04:45:00Z
0.0833760505200125,0.23032985035053102,0.5,2015-07-20T05:15:00Z
0.09768486568056277,0.22986086788675208,0.5,2015-07-20T05:45:00Z
0.1113619390850127,0.2237764585078182,0.5,2015-07-20T06:15:00Z
0.10425193012834168,0.20318865550054557,0.5,2015-07-20T06:45:00Z
0.07899714949468918,0.16404646774814607,0.5,2015-07-20T07:15:00Z
0.05387473295447397,0.11376600654381756,0.5,2015-07-20T07:45:00Z
0.039551927134999394,0.0703863180817259,0.5,2015-07-20T08:15:00Z
0.03363169841701223,0.04616154360160613,0.5,2015-07-20T08:45:00Z
0.030651552564607647,0.03834949547964335,0.5,2015-07-20T09:15:00Z
0.028711471762959608,0.0378163027469828,0.5,2015-07-20T09:45:00Z
0.028494523504651113,0.04000940770644581,0.5,2015-07-20T10:15:00Z
0.030447930670164332,0.04731337188646165,0.5,2015-07-20T10:45:00Z
0.034479675431070105,0.062074388824089055,0.5,2015-07-20T11:15:00Z
0.041039472536158306,0.07828845207101778,0.5,2015-07-20T11:45:00Z
0.050205731722235254,0.08390020187030141,0.5,2015-07-20T12:15:00Z
0.060067955998979766,0.07340312150678581,0.5,2015-07-20T12:45:00Z
0.06771758224361903,0.05427050523105853,0.5,2015-07-20T13:15:00Z
