"","sigma","quant","pval"
"1",0,0.501,1
"2",0.1,0.501,0
"3",0.5,0.501,0
"4",1,0.501,0
"5",1.01,0.501,0
"6",1.02,0.501,0
"7",1.03,0.501,0
"8",1.04,0.501,0
"9",1.05,0.501,0
"10",1.06,0.501,0
"11",1.07,0.501,0
"12",1.08,0.501,0
"13",1.09,0.501,0
"14",1.1,0.501,0
"15",1.11,0.501,0
"16",1.12,0.501,0
"17",1.13,0.501,0
"18",1.14,0.501,0
"19",1.15,0.501,0
"20",1.16,0.501,0
"21",1.17,0.501,0
"22",1.18,0.501,0
"23",1.19,0.501,0
"24",1.2,0.501,0
"25",1.21,0.501,0
"26",1.22,0.501,0
"27",1.23,0.501,0
"28",1.24,0.501,0
"29",1.25,0.501,0
"30",1.26,0.501,0
"31",1.27,0.501,0
"32",1.28,0.501,0
"33",1.29,0.501,0
"34",1.3,0.501,0
"35",1.31,0.501,0
"36",1.32,0.501,0
"37",1.33,0.501,0
"38",1.34,0.501,0
"39",1.35,0.501,0
"40",1.36,0.501,0
"41",1.37,0.501,0
"42",1.38,0.501,0
"43",1.39,0.501,0
"44",1.4,0.501,0
"45",1.41,0.501,0
"46",1.42,0.501,0
"47",1.43,0.501,0
"48",1.44,0.501,0
"49",1.45,0.501,0
"50",1.46,0.501,0
"51",1.47,0.501,0
"52",1.48,0.501,0
"53",1.49,0.501,0
"54",1.5,0.501,0
"55",2,0.501,0
"56",5,0.501,0
"57",0,0.75,1
"58",0.1,0.75,1
"59",0.5,0.75,1
"60",1,0.75,0.999532082780045
"61",1.01,0.75,0.995549926900082
"62",1.02,0.75,0.977773193272649
"63",1.03,0.75,0.930287549591919
"64",1.04,0.75,0.843523060452467
"65",1.05,0.75,0.723539112257091
"66",1.06,0.75,0.588091182993749
"67",1.07,0.75,0.456086996255878
"68",1.08,0.75,0.340386598619114
"69",1.09,0.75,0.246440930302898
"70",1.1,0.75,0.17425611207564
"71",1.11,0.75,0.1209695735193
"72",1.12,0.75,0.0827715674388368
"73",1.13,0.75,0.0559810952364416
"74",1.14,0.75,0.0375005727542119
"75",1.15,0.75,0.0249165178036413
"76",1.16,0.75,0.0164367133574028
"77",1.17,0.75,0.010772337495603
"78",1.18,0.75,0.00701723203311455
"79",1.19,0.75,0.00454474755088097
"80",1.2,0.75,0.00292700243987321
"81",1.21,0.75,0.00187480374956073
"82",1.22,0.75,0.00119436394855554
"83",1.23,0.75,0.000756798102907519
"84",1.24,0.75,0.000476969401331462
"85",1.25,0.75,0.000298996656068917
"86",1.26,0.75,0.000186423801191493
"87",1.27,0.75,0.000115607641935855
"88",1.28,0.75,7.13035251851402e-05
"89",1.29,0.75,4.37383624923848e-05
"90",1.3,0.75,2.66825945087756e-05
"91",1.31,0.75,1.61880287993243e-05
"92",1.32,0.75,9.76666306917728e-06
"93",1.33,0.75,5.85963352606189e-06
"94",1.34,0.75,3.4958446405442e-06
"95",1.35,0.75,2.0738461761205e-06
"96",1.36,0.75,1.22328824203599e-06
"97",1.37,0.75,7.17453797038914e-07
"98",1.38,0.75,4.18366477683563e-07
"99",1.39,0.75,2.42550632023608e-07
"100",1.4,0.75,1.39802588061677e-07
"101",1.41,0.75,8.0108742417373e-08
"102",1.42,0.75,4.56332106546498e-08
"103",1.43,0.75,2.58406210873474e-08
"104",1.44,0.75,1.45455451017185e-08
"105",1.45,0.75,8.13853850978319e-09
"106",1.46,0.75,4.52622672675318e-09
"107",1.47,0.75,2.50197929041462e-09
"108",1.48,0.75,1.37458811000357e-09
"109",1.49,0.75,7.50562278994948e-10
"110",1.5,0.75,4.0729575268017e-10
"111",2,0.75,0
"112",5,0.75,0
"113",0,0.9,1
"114",0.1,0.9,1
"115",0.5,0.9,1
"116",1,0.9,0.999895283183149
"117",1.01,0.9,0.999400428555363
"118",1.02,0.9,0.997543830174853
"119",1.03,0.9,0.992320646984835
"120",1.04,0.9,0.980695276951878
"121",1.05,0.9,0.959306952954866
"122",1.06,0.9,0.92559371914352
"123",1.07,0.9,0.878716592042897
"124",1.08,0.9,0.819834476468398
"125",1.09,0.9,0.751716596870908
"126",1.1,0.9,0.67799240773177
"127",1.11,0.9,0.602385729318662
"128",1.12,0.9,0.528152929596235
"129",1.13,0.9,0.45778872317994
"130",1.14,0.9,0.392959107448897
"131",1.15,0.9,0.334581314127508
"132",1.16,0.9,0.249757269201869
"133",1.17,0.9,0.180437788274706
"134",1.18,0.9,0.128195956672523
"135",1.19,0.9,0.0898744564172601
"136",1.2,0.9,0.0623319863438226
"137",1.21,0.9,0.0428447778398469
"138",1.22,0.9,0.0292260715194914
"139",1.23,0.9,0.0198031520018872
"140",1.24,0.9,0.0133374562244145
"141",1.25,0.9,0.00893268300349948
"142",1.26,0.9,0.00595105234468751
"143",1.27,0.9,0.00394454395506805
"144",1.28,0.9,0.0026016457747603
"145",1.29,0.9,0.00170758838546436
"146",1.3,0.9,0.00111537824136854
"147",1.31,0.9,0.000725061656704495
"148",1.32,0.9,0.000469077012233532
"149",1.33,0.9,0.000302014358946612
"150",1.34,0.9,0.000193517221400152
"151",1.35,0.9,0.000123399212107578
"152",1.36,0.9,7.83062500162579e-05
"153",1.37,0.9,4.94494223753916e-05
"154",1.38,0.9,3.10738835005431e-05
"155",1.39,0.9,1.94306614367257e-05
"156",1.4,0.9,1.20899707496402e-05
"157",1.41,0.9,7.48507433989687e-06
"158",1.42,0.9,4.6109202798128e-06
"159",1.43,0.9,2.82609638246889e-06
"160",1.44,0.9,1.7233810192252e-06
"161",1.45,0.9,1.04558087032913e-06
"162",1.46,0.9,6.31106766180167e-07
"163",1.47,0.9,3.78969035930155e-07
"164",1.48,0.9,2.26384674895108e-07
"165",1.49,0.9,1.34530072082306e-07
"166",1.5,0.9,7.95256617225348e-08
"167",2,0.9,0
"168",5,0.9,0
"169",0,0.95,1
"170",0.1,0.95,1
"171",0.5,0.95,1
"172",1,0.95,0.994402286952111
"173",1.01,0.95,0.983542973936804
"174",1.02,0.95,0.961346137899611
"175",1.03,0.95,0.923998811642984
"176",1.04,0.95,0.870189888309574
"177",1.05,0.95,0.801668475620719
"178",1.06,0.95,0.722568548129552
"179",1.07,0.95,0.638101824197761
"180",1.08,0.95,0.553309992472032
"181",1.09,0.95,0.472260299974572
"182",1.1,0.95,0.397734563692246
"183",1.11,0.95,0.331278194999423
"184",1.12,0.95,0.273437238940183
"185",1.13,0.95,0.224049476397972
"186",1.14,0.95,0.182511324078563
"187",1.15,0.95,0.147987849804688
"188",1.16,0.95,0.119561003944704
"189",1.17,0.95,0.0963246066604057
"190",1.18,0.95,0.0774389224693071
"191",1.19,0.95,0.0621570976899314
"192",1.2,0.95,0.0498335113749816
"193",1.21,0.95,0.0399213257167871
"194",1.22,0.95,0.0319642811030055
"195",1.23,0.95,0.0255859463575299
"196",1.24,0.95,0.0204783765543781
"197",1.25,0.95,0.0162807385866275
"198",1.26,0.95,0.0109848411362505
"199",1.27,0.95,0.0073723734257366
"200",1.28,0.95,0.0049228924697885
"201",1.29,0.95,0.00327116566846497
"202",1.3,0.95,0.0021632087769744
"203",1.31,0.95,0.00142375403284412
"204",1.32,0.95,0.000932667360489692
"205",1.33,0.95,0.000608107082921361
"206",1.34,0.95,0.000394634573816277
"207",1.35,0.95,0.000254899115941787
"208",1.36,0.95,0.000163867644076499
"209",1.37,0.95,0.000104848310033989
"210",1.38,0.95,6.67672332024249e-05
"211",1.39,0.95,4.23144356094252e-05
"212",1.4,0.95,2.6688599969571e-05
"213",1.41,0.95,1.67518796440058e-05
"214",1.42,0.95,1.04638117670586e-05
"215",1.43,0.95,6.5041834220736e-06
"216",1.44,0.95,4.02309109193144e-06
"217",1.45,0.95,2.47616006332496e-06
"218",1.46,0.95,1.51648030832785e-06
"219",1.47,0.95,9.241051203146e-07
"220",1.48,0.95,5.60298875740273e-07
"221",1.49,0.95,3.38001844180091e-07
"222",1.5,0.95,2.02864645193479e-07
"223",2,0.95,0
"224",5,0.95,0
"225",0,0.99,1
"226",0.1,0.99,1
"227",0.5,0.99,1
"228",1,0.99,0.974363859341672
"229",1.01,0.99,0.942735826938617
"230",1.02,0.99,0.892712986784573
"231",1.03,0.99,0.824819101124665
"232",1.04,0.99,0.743115902966741
"233",1.05,0.99,0.653659340850802
"234",1.06,0.99,0.562709217118361
"235",1.07,0.99,0.475455520036721
"236",1.08,0.99,0.395465756961575
"237",1.09,0.99,0.324694425937197
"238",1.1,0.99,0.263793119512203
"239",1.11,0.99,0.212508657540611
"240",1.12,0.99,0.170046210040244
"241",1.13,0.99,0.135348186424817
"242",1.14,0.99,0.107283953497465
"243",1.15,0.99,0.0847652815471532
"244",1.16,0.99,0.0668075903973671
"245",1.17,0.99,0.0525552959242888
"246",1.18,0.99,0.0412853354018869
"247",1.19,0.99,0.0323987026005502
"248",1.2,0.99,0.0254063546544897
"249",1.21,0.99,0.0199133395147063
"250",1.22,0.99,0.0156032869879564
"251",1.23,0.99,0.0122243329520979
"252",1.24,0.99,0.00957690611306983
"253",1.25,0.99,0.00750343334811154
"254",1.26,0.99,0.00587983740106901
"255",1.27,0.99,0.00460861639795529
"256",1.28,0.99,0.00361326870934975
"257",1.29,0.99,0.00283383780035995
"258",1.3,0.99,0.00222337252263727
"259",1.31,0.99,0.00174512691466311
"260",1.32,0.99,0.00137035278752606
"261",1.33,0.99,0.000955508815740247
"262",1.34,0.99,0.000625210927923225
"263",1.35,0.99,0.000407202272323937
"264",1.36,0.99,0.000263986774071467
"265",1.37,0.99,0.00017034771208313
"266",1.38,0.99,0.000109411900286793
"267",1.39,0.99,6.99451430089537e-05
"268",1.4,0.99,4.45046191358545e-05
"269",1.41,0.99,2.81835856650314e-05
"270",1.42,0.99,1.77631398643463e-05
"271",1.43,0.99,1.11420194782719e-05
"272",1.44,0.99,6.95531686800699e-06
"273",1.45,0.99,4.3208253138749e-06
"274",1.46,0.99,2.67116733387862e-06
"275",1.47,0.99,1.64326562202e-06
"276",1.48,0.99,1.00594514418351e-06
"277",1.49,0.99,6.12756902107492e-07
"278",1.5,0.99,3.71395695530907e-07
"279",2,0.99,0
"280",5,0.99,0
