Datetime,Household202,Household210,Quantile
15-09-2015 02:00,2.762789799,0.265037757,0.5
15-09-2015 02:15,2.669804275,0.209681648,0.5
15-09-2015 02:30,2.491358358,0.194944023,0.5
15-09-2015 02:45,2.194041358,0.216624882,0.5
15-09-2015 03:00,1.794782524,0.24908049,0.5
15-09-2015 03:15,1.357469283,0.264680689,0.5
15-09-2015 03:30,0.977521261,0.248703806,0.5
15-09-2015 03:45,0.691647797,0.201596249,0.5
15-09-2015 04:00,0.462865826,0.139141147,0.5
15-09-2015 04:15,0.276212483,0.0843313,0.5
15-09-2015 04:30,0.152326894,0.050132239,0.5
15-09-2015 04:45,0.092402782,0.034082215,0.5
15-09-2015 05:00,0.072274811,0.028182532,0.5
15-09-2015 05:15,0.067746419,0.027316926,0.5
15-09-2015 05:30,0.065963758,0.030128354,0.5
15-09-2015 05:45,0.063915744,0.037540702,0.5
15-09-2015 06:00,0.063118443,0.051864859,0.5
15-09-2015 06:15,0.06773758,0.075754275,0.5
15-09-2015 06:30,0.085351863,0.110466548,0.5
15-09-2015 06:45,0.116432325,0.148801502,0.5
15-09-2015 07:00,0.142583571,0.167986488,0.5
15-09-2015 07:15,0.143908974,0.148414115,0.5
15-09-2015 07:30,0.124358135,0.102161188,0.5
15-09-2015 07:45,0.103047322,0.060071806,0.5
15-09-2015 08:00,0.091880127,0.037709879,0.5
15-09-2015 08:15,0.091065507,0.030939702,0.5
15-09-2015 08:30,0.095828965,0.03141504,0.5
15-09-2015 08:45,0.103429595,0.034293854,0.5
15-09-2015 09:00,0.115969719,0.037531363,0.5
15-09-2015 09:15,0.132824035,0.04048206,0.5
15-09-2015 09:30,0.143470364,0.043342819,0.5
15-09-2015 09:45,0.140016835,0.04654459,0.5
15-09-2015 10:00,0.129073862,0.04996813,0.5
15-09-2015 10:15,0.118981086,0.05285796,0.5
15-09-2015 10:30,0.10947039,0.054703959,0.5
15-09-2015 10:45,0.098907674,0.056119811,0.5
15-09-2015 11:00,0.087516869,0.059533555,0.5
15-09-2015 11:15,0.074874239,0.069431452,0.5
15-09-2015 11:30,0.061796139,0.089570009,0.5
15-09-2015 11:45,0.050845164,0.11812314,0.5
15-09-2015 12:00,0.043261088,0.148427799,0.5
15-09-2015 12:15,2.321268739,1.206385326,0.5
15-09-2015 12:30,2.617927665,1.150079745,0.5
15-09-2015 12:45,2.831875729,1.011588544,0.5
15-09-2015 13:00,2.880790637,0.793393444,0.5
15-09-2015 13:15,2.828364421,0.561617899,0.5
15-09-2015 13:30,2.785576172,0.387223947,0.5
15-09-2015 13:45,2.757402733,0.288400117,0.5
15-09-2015 14:00,2.709077819,0.245430851,0.5
15-09-2015 14:15,2.620113496,0.229535415,0.5
15-09-2015 14:30,2.439851089,0.217829084,0.5
15-09-2015 14:45,2.154413223,0.207252611,0.5
15-09-2015 15:00,1.851508592,0.210293521,0.5
15-09-2015 15:15,1.605907338,0.225994578,0.5
15-09-2015 15:30,1.368811177,0.228179798,0.5
15-09-2015 15:45,1.048795885,0.194324456,0.5
15-09-2015 16:00,0.663963406,0.134337482,0.5
15-09-2015 16:15,0.336477651,0.079730088,0.5
15-09-2015 16:30,0.145383918,0.051103772,0.5
15-09-2015 16:45,0.066773272,0.046225256,0.5
15-09-2015 17:00,0.042504979,0.051931031,0.5
15-09-2015 17:15,0.03661763,0.057331624,0.5
15-09-2015 17:30,0.035815492,0.061268986,0.5
15-09-2015 17:45,0.036069358,0.069617115,0.5
15-09-2015 18:00,0.037021602,0.081993588,0.5
15-09-2015 18:15,0.039748514,0.087163388,0.5
15-09-2015 18:30,0.044336212,0.076791565,0.5
15-09-2015 18:45,0.050568605,0.056779408,0.5
15-09-2015 19:00,0.058927484,0.039402209,0.5
15-09-2015 19:15,0.068290835,0.030294566,0.5
15-09-2015 19:30,0.075822502,0.027347445,0.5
15-09-2015 19:45,0.080721298,0.026843675,0.5
15-09-2015 20:00,0.085147268,0.026895668,0.5
15-09-2015 20:15,0.090880865,0.027382703,0.5
15-09-2015 20:30,0.096922694,0.02887881,0.5
15-09-2015 20:45,0.100769347,0.031595027,0.5
15-09-2015 21:00,0.1011396,0.034986545,0.5
15-09-2015 21:15,0.098908617,0.038376269,0.5
15-09-2015 21:30,0.0957916,0.041765479,0.5
15-09-2015 21:45,0.092950515,0.045589281,0.5
15-09-2015 22:00,0.090669572,0.049649126,0.5
15-09-2015 22:15,0.08779271,0.053010741,0.5
15-09-2015 22:30,0.082265632,0.055206879,0.5
15-09-2015 22:45,0.074487461,0.057135534,0.5
15-09-2015 23:00,0.069789579,0.06122361,0.5
15-09-2015 23:15,0.075145289,0.070973828,0.5
15-09-2015 23:30,0.089943414,0.088762514,0.5
15-09-2015 23:45,0.103241173,0.112955984,0.5
16-09-2015 00:00,0.105593121,0.138669814,0.5
16-09-2015 00:15,2.607511786,1.224989397,0.5
16-09-2015 00:30,2.933427172,1.162457754,0.5
16-09-2015 00:45,3.156462934,1.028178748,0.5
16-09-2015 01:00,3.202744475,0.828166649,0.5
16-09-2015 01:15,3.136669166,0.610383966,0.5
16-09-2015 01:30,3.076863208,0.430934904,0.5
16-09-2015 01:45,3.054075328,0.321125418,0.5
16-09-2015 02:00,3.01936093,0.273741167,0.5
16-09-2015 02:15,2.903608844,0.25571014,0.5
16-09-2015 02:30,2.647425193,0.250315617,0.5
16-09-2015 02:45,2.250064997,0.261933316,0.5
16-09-2015 03:00,1.806709012,0.280055016,0.5
16-09-2015 03:15,1.440648873,0.282483297,0.5
16-09-2015 03:30,1.17260288,0.259086267,0.5
16-09-2015 03:45,0.919743875,0.209305803,0.5
16-09-2015 04:00,0.638812625,0.145657353,0.5
16-09-2015 04:15,0.380048531,0.095990837,0.5
16-09-2015 04:30,0.200719898,0.076005294,0.5
16-09-2015 04:45,0.10596167,0.073121307,0.5
16-09-2015 05:00,0.069497164,0.068191498,0.5
16-09-2015 05:15,0.068590119,0.058037743,0.5
16-09-2015 05:30,0.093126489,0.051916079,0.5
16-09-2015 05:45,0.13042441,0.057500885,0.5
16-09-2015 06:00,0.156128883,0.072313178,0.5
16-09-2015 06:15,0.15376616,0.082996561,0.5
16-09-2015 06:30,0.131625097,0.077424636,0.5
16-09-2015 06:45,0.107209402,0.059011204,0.5
16-09-2015 07:00,0.088961661,0.041190996,0.5
16-09-2015 07:15,0.07848203,0.031416543,0.5
16-09-2015 07:30,0.076398367,0.028048599,0.5
16-09-2015 07:45,0.082164987,0.027414184,0.5
16-09-2015 08:00,0.093637763,0.027996389,0.5
16-09-2015 08:15,0.10849859,0.029931836,0.5
16-09-2015 08:30,0.123469917,0.033224957,0.5
16-09-2015 08:45,0.133052472,0.036816692,0.5
16-09-2015 09:00,0.134099825,0.039572406,0.5
16-09-2015 09:15,0.13008333,0.041676984,0.5
16-09-2015 09:30,0.127100842,0.044091283,0.5
16-09-2015 09:45,0.1275788,0.047127938,0.5
16-09-2015 10:00,0.127682612,0.050197588,0.5
16-09-2015 10:15,0.120140058,0.052630891,0.5
16-09-2015 10:30,0.10264319,0.054337069,0.5
16-09-2015 10:45,0.081677471,0.055808177,0.5
16-09-2015 11:00,0.06476806,0.058466087,0.5
16-09-2015 11:15,0.053664508,0.065449377,0.5
16-09-2015 11:30,0.046684479,0.080168457,0.5
16-09-2015 11:45,0.042062143,0.102281391,0.5
16-09-2015 12:00,0.038564569,0.127110873,0.5
16-09-2015 12:15,2.668897099,1.190200329,0.5
16-09-2015 12:30,3.03051551,1.116609035,0.5
16-09-2015 12:45,3.295434306,0.978303201,0.5
16-09-2015 13:00,3.374903581,0.786807862,0.5
16-09-2015 13:15,3.310258213,0.587601811,0.5
16-09-2015 13:30,3.20096122,0.427335517,0.5
16-09-2015 13:45,3.08800393,0.330473103,0.5
16-09-2015 14:00,2.96577423,0.291105166,0.5
16-09-2015 14:15,2.804348098,0.2767455,0.5
16-09-2015 14:30,2.552453197,0.260002871,0.5
16-09-2015 14:45,2.191423536,0.236380072,0.5
16-09-2015 15:00,1.77830427,0.206403101,0.5
16-09-2015 15:15,1.392466161,0.167661964,0.5
16-09-2015 15:30,1.054133546,0.123689565,0.5
16-09-2015 15:45,0.741491049,0.083357173,0.5
16-09-2015 16:00,0.467027622,0.05415733,0.5
16-09-2015 16:15,0.273965523,0.037978932,0.5
16-09-2015 16:30,0.171219632,0.031281963,0.5
16-09-2015 16:45,0.124690735,0.029556101,0.5
