Datetime,Household 13,Household 56,Household 61,Household 114,Household 159,Household 161,Household 176,Household 184,Household 190,Household 223,Quantile
14-09-2015 09:15,0.919338701,0.439008505,0.4325218,1.00231327,0.722546788,1.304584557,0.338474506,0.469423389,0.627855819,0.482001857,0.5
14-09-2015 09:30,0.831739074,0.518432703,0.424898184,0.910691902,0.698882687,1.142937568,0.373033508,0.572909026,0.812519745,0.665941821,0.5
14-09-2015 09:45,0.67567508,0.634235534,0.417958416,0.819322902,0.671427685,0.966661329,0.413143231,0.635201139,0.960532442,0.861405178,0.5
14-09-2015 10:00,0.549450787,0.760961009,0.400819644,0.792547386,0.660432941,0.824645559,0.465333567,0.614123077,1.008619457,1.012237163,0.5
14-09-2015 10:15,0.487169854,0.847119557,0.373850175,0.803964295,0.712702499,0.710222543,0.513438926,0.535756417,0.950082703,1.059134165,0.5
14-09-2015 10:30,0.472125024,0.85664626,0.337595287,0.776008718,0.844895453,0.599680311,0.536595219,0.467203501,0.8328554,0.97792375,0.5
14-09-2015 10:45,0.463454344,0.78231893,0.298526032,0.668869745,1.007532053,0.491451886,0.541747921,0.450755253,0.706240521,0.811079293,0.5
14-09-2015 11:00,0.421428679,0.629137799,0.266897285,0.528389802,1.097330804,0.394912271,0.537029428,0.474858163,0.591561305,0.63797176,0.5
14-09-2015 11:15,0.346972026,0.442566075,0.244977355,0.435762202,1.024602674,0.314314619,0.504341181,0.501835161,0.490409511,0.507307263,0.5
14-09-2015 11:30,0.27585805,0.293070473,0.229073463,0.424883746,0.807257329,0.25352093,0.437428441,0.514801019,0.400422101,0.419840097,0.5
14-09-2015 11:45,0.229490526,0.208031267,0.218798767,0.470779285,0.560633936,0.214796666,0.362878072,0.52623717,0.324625806,0.360113778,0.5
14-09-2015 12:00,0.201721204,0.168626085,0.215953049,0.535576313,0.375609914,0.193330408,0.304416044,0.548372081,0.267718509,0.317576623,0.5
14-09-2015 12:15,0.128663113,0.127764673,0.177067371,0.309727559,0.128369731,0.211136428,0.270456072,0.132325114,0.156147823,0.174589614,0.5
14-09-2015 12:30,0.127221506,0.125867497,0.161788378,0.237097393,0.141773954,0.212192475,0.228136128,0.133719144,0.156175786,0.169394465,0.5
14-09-2015 12:45,0.124008703,0.12477061,0.143956679,0.171919149,0.159809726,0.214801461,0.18713268,0.135253915,0.157624499,0.159909442,0.5
14-09-2015 13:00,0.120421819,0.124938573,0.124744112,0.128555939,0.174078493,0.226556344,0.154662903,0.13645911,0.163248585,0.149024545,0.5
14-09-2015 13:15,0.117007526,0.12574583,0.108688934,0.108974457,0.176753073,0.246729561,0.132586945,0.13580911,0.177450221,0.140996164,0.5
14-09-2015 13:30,0.114351493,0.126260172,0.099074687,0.10355545,0.174590086,0.25828679,0.119345039,0.132180396,0.201941098,0.138283237,0.5
14-09-2015 13:45,0.114681987,0.126535985,0.09474285,0.102275059,0.182027175,0.246197119,0.114666227,0.126903635,0.229841751,0.140536381,0.5
14-09-2015 14:00,0.119522614,0.127982995,0.095288076,0.101051684,0.196651673,0.218085018,0.117247357,0.122259412,0.248950148,0.144673286,0.5
14-09-2015 14:15,0.127215431,0.135666928,0.10336852,0.10102211,0.197002347,0.19618016,0.122520126,0.119265329,0.253393055,0.147005676,0.5
14-09-2015 14:30,0.134167727,0.164117655,0.120158711,0.103386963,0.175322648,0.195177422,0.126252055,0.118846306,0.24857051,0.147561261,0.5
14-09-2015 14:45,0.141553455,0.232484154,0.144022222,0.106623721,0.162572862,0.214239619,0.127643142,0.123271729,0.246283179,0.150605225,0.5
14-09-2015 15:00,0.161717826,0.332433719,0.176054302,0.109630102,0.217360967,0.242133056,0.1287659,0.134072263,0.257492738,0.158391634,0.5
14-09-2015 15:15,0.210364016,0.408918742,0.225278423,0.114180862,0.393117993,0.263101939,0.131490873,0.149118596,0.283917887,0.165508626,0.5
14-09-2015 15:30,0.286634077,0.416611537,0.300533022,0.123239818,0.680512579,0.264412815,0.134297632,0.165333941,0.313973624,0.162454944,0.5
14-09-2015 15:45,0.361239196,0.384630457,0.38677888,0.138803321,0.960440277,0.244291959,0.135663305,0.181994661,0.331859375,0.14539497,0.5
14-09-2015 16:00,0.390214377,0.377963164,0.440576062,0.159570151,1.07748174,0.212533508,0.139603525,0.195893774,0.330379227,0.11964128,0.5
14-09-2015 16:15,0.354428664,0.423313575,0.43255514,0.180403678,1.004501242,0.183703373,0.152149649,0.201803229,0.312688955,0.092600106,0.5
14-09-2015 16:30,0.283700556,0.50635719,0.380602536,0.199538891,0.874927433,0.167185644,0.173614416,0.203584396,0.287350491,0.067366577,0.5
14-09-2015 16:45,0.221839454,0.60118781,0.323377642,0.219062108,0.830130888,0.160185443,0.197793257,0.213180934,0.26526943,0.045117326,0.5
14-09-2015 17:00,0.179712588,0.687764735,0.283552497,0.232774907,0.878687867,0.152873276,0.220114366,0.238009124,0.254969009,0.028348582,0.5
14-09-2015 17:15,0.147443273,0.7655085,0.261730117,0.232365099,0.900470172,0.140378852,0.242779936,0.282353286,0.256947161,0.01868989,0.5
14-09-2015 17:30,0.125818096,0.83836822,0.249770986,0.222548618,0.795129491,0.126495531,0.264737806,0.358575043,0.265975595,0.015036437,0.5
14-09-2015 17:45,0.119526499,0.89201844,0.245033991,0.211710618,0.61612739,0.119016224,0.276204343,0.479927148,0.277846313,0.015186488,0.5
