Datetime,Household 4,Household 11,Household 22,Household 33,Household 42,Household 43,Household 46,Household 48,Household 52,Household 65,Household 68,Household 72,Household 89,Household 94,Household 99,Household 101,Household 102,Household 119,Household 125,Household 129,Household 130,Household 134,Household 138,Household 143,Household 147,Household 157,Household 163,Household 168,Household 171,Household 175,Household 180,Household 186,Household 194,Household 203,Household 206,Household 208,Household 214,Household 215,Household 216,Household 219,Household 221,Household 226,Quantile
14-09-2015 00:15,0.096474451,0.092111504,0.096934054,0.380602161,0.072512136,0.090491376,0.067442285,0.110828087,0.210647513,0.240328201,0.101236381,0.083500875,0.244782863,0.145533676,0.078402218,0.1144553,0.134804703,0.161202699,0.078541549,0.120781631,0.156250392,0.109773013,0.122701361,0.117502147,0.098535899,0.086190189,0.097386957,0.09533895,0.094978814,0.081251551,0.122337245,0.073186709,0.126220304,0.212911411,0.129511667,0.419888833,0.271845163,0.052830332,0.22443124,0.326475134,0.115298184,0.210133709,0.5
14-09-2015 00:30,0.091103398,0.090651536,0.10066941,0.365243159,0.084047297,0.08920084,0.06712895,0.106417687,0.204399035,0.240999391,0.099154819,0.083821736,0.235405279,0.124526937,0.072320646,0.112790517,0.127867399,0.161309922,0.088138986,0.140670585,0.155979043,0.11166825,0.121760335,0.113464887,0.107306574,0.080111659,0.09801836,0.092317367,0.0945456,0.083704957,0.106526233,0.073239272,0.123320293,0.179726291,0.126005774,0.416988856,0.208799896,0.051078942,0.210524316,0.309204524,0.117671022,0.203733264,0.5
14-09-2015 00:45,0.085716911,0.089506214,0.10408932,0.343309936,0.094705972,0.08859665,0.066516377,0.103242643,0.195854912,0.227054256,0.095067478,0.083323152,0.222184078,0.101009958,0.065651654,0.113329346,0.119742136,0.161339215,0.098629743,0.147234192,0.151609401,0.112745926,0.120277019,0.108217075,0.111187795,0.077329611,0.096450465,0.087445411,0.092074983,0.084016924,0.092806716,0.073735079,0.113532175,0.144094186,0.121566175,0.393204393,0.147562686,0.049220723,0.190675201,0.280857059,0.117987423,0.19466685,0.5
14-09-2015 01:00,0.08160886,0.08899583,0.105623474,0.315659065,0.101058653,0.089954854,0.065553435,0.102602567,0.184065193,0.206293528,0.090203159,0.081949051,0.207433227,0.081471588,0.06255616,0.115865112,0.112175493,0.161512212,0.10632081,0.135533666,0.144436656,0.111392866,0.119448876,0.103938201,0.109721778,0.080634494,0.09419293,0.084463443,0.087626357,0.082425251,0.085200897,0.076439252,0.100705321,0.115277618,0.118057651,0.35603901,0.102723576,0.047433868,0.165870161,0.237608906,0.114997408,0.183109195,0.5
14-09-2015 01:15,0.079082841,0.088953794,0.104725918,0.285257243,0.101744647,0.092420482,0.064576727,0.10322636,0.1706827,0.188216871,0.085476733,0.079998321,0.194309558,0.069869673,0.065205498,0.118369245,0.106775828,0.162045541,0.106730397,0.117194313,0.138016395,0.106998492,0.119748465,0.101846488,0.10783553,0.087892721,0.093109108,0.085819716,0.082903733,0.080981198,0.084309206,0.081419129,0.091316986,0.098192398,0.116014845,0.315642489,0.080141737,0.045540574,0.14319243,0.190190913,0.109976492,0.169938224,0.5
14-09-2015 01:30,0.077587553,0.089376006,0.102630667,0.255502928,0.097465568,0.094185654,0.063680015,0.102725336,0.159097359,0.174921712,0.081433575,0.078254413,0.184242249,0.064357989,0.070396721,0.118983988,0.105563395,0.162186537,0.098920359,0.106865682,0.133160416,0.10091983,0.120255814,0.101522372,0.108963585,0.092131875,0.092622505,0.09174434,0.079781601,0.081053211,0.088600421,0.086257994,0.090499011,0.09143559,0.112332381,0.271600763,0.072810971,0.044794074,0.128705818,0.156285521,0.105701047,0.15614726,0.5
14-09-2015 01:45,0.076575575,0.090596878,0.100524352,0.228797164,0.089649879,0.095532902,0.06268394,0.101049611,0.151600179,0.165023659,0.078761054,0.077423254,0.176676406,0.061017535,0.073501247,0.118063226,0.109836468,0.161680031,0.087094449,0.104666289,0.126326428,0.09553055,0.120015201,0.102541686,0.110967248,0.090304231,0.09165936,0.10204747,0.078460744,0.082133605,0.097713035,0.088939095,0.105165692,0.09171005,0.104566029,0.22295104,0.072722006,0.047368976,0.121287523,0.141128227,0.10358737,0.142413188,0.5
14-09-2015 02:00,0.075568809,0.092432427,0.098456365,0.206538471,0.080970339,0.097981423,0.061964895,0.099825927,0.148430604,0.15735848,0.07761887,0.077108407,0.170568282,0.057785348,0.073581728,0.116970063,0.117806116,0.162553351,0.077016476,0.103863116,0.115105276,0.093154736,0.118634564,0.10485081,0.114038334,0.088075637,0.090935394,0.113106781,0.07668605,0.084554483,0.113102883,0.09056666,0.143519802,0.096296392,0.094825566,0.179409838,0.079583934,0.05266913,0.116961018,0.136783457,0.103824163,0.129177681,0.5
14-09-2015 02:15,0.07456783,0.094248707,0.096507028,0.18954534,0.075352572,0.101838219,0.062409822,0.099380568,0.148087507,0.150195854,0.07826077,0.077115119,0.165374548,0.055232411,0.073355702,0.115851549,0.126467535,0.168026438,0.071623921,0.106436827,0.101882763,0.095603882,0.116056998,0.107909438,0.126756043,0.092844053,0.091310397,0.118718348,0.072026619,0.089929107,0.13973196,0.093900299,0.198595058,0.104060303,0.087556114,0.151726011,0.095641675,0.057168798,0.113289825,0.135279054,0.107535499,0.116798796,0.5
14-09-2015 02:30,0.074224363,0.096722241,0.09568271,0.178210771,0.076255168,0.106042019,0.065141705,0.099238833,0.149624426,0.142583356,0.081103868,0.081560974,0.161179378,0.054861571,0.076378086,0.11413135,0.135579557,0.179568278,0.070642779,0.119119537,0.091158246,0.10369811,0.114190737,0.110737115,0.156430677,0.106492755,0.092614023,0.117370158,0.065828099,0.097905619,0.182863842,0.100142746,0.238980443,0.114369024,0.088297466,0.140141756,0.116054551,0.059278087,0.109637357,0.134619894,0.117227366,0.105518316,0.5
14-09-2015 02:45,0.074752522,0.104334809,0.098052792,0.172482499,0.084096562,0.109203293,0.072866348,0.100370858,0.155092135,0.135656154,0.085416534,0.104938311,0.15831156,0.057851423,0.084753817,0.11308367,0.150573263,0.193258031,0.072405405,0.136638301,0.085815515,0.117752091,0.117930496,0.113049501,0.195231043,0.127537617,0.094214185,0.112421148,0.062356859,0.106690573,0.233690239,0.107791594,0.240705273,0.124787569,0.10472538,0.135965176,0.129379491,0.06111882,0.108302174,0.135213413,0.13575569,0.095407663,0.5
14-09-2015 03:00,0.076122549,0.124410494,0.105145092,0.171867518,0.096767906,0.111434925,0.089090855,0.104128731,0.166603491,0.132073456,0.091225091,0.173916463,0.157562595,0.065123936,0.099343606,0.115453518,0.181240024,0.198962188,0.076423964,0.142228628,0.086101858,0.138581141,0.131245742,0.11512676,0.224505612,0.157753826,0.096104824,0.106201644,0.063990726,0.116963512,0.266007576,0.113539379,0.218213979,0.132546498,0.143523028,0.130876433,0.128888787,0.06425199,0.11357842,0.135766415,0.165433771,0.086420383,0.5
14-09-2015 03:15,0.080782608,0.157785511,0.115264006,0.175586801,0.113188337,0.113142954,0.110267777,0.109451357,0.181268759,0.133709553,0.100907492,0.30263791,0.160191414,0.076108217,0.118804644,0.121695401,0.231455258,0.186222313,0.087270303,0.131018828,0.090510231,0.167195603,0.1518814,0.116685038,0.230488231,0.201811931,0.100246866,0.098451735,0.069908277,0.131672702,0.262186406,0.114385488,0.198786045,0.136649281,0.204617463,0.122617442,0.119196214,0.067085962,0.126026245,0.134248978,0.204518604,0.078435914,0.5
