Datetime,Household 1,Household 2,Household 45,Household 54,Household 70,Household 71,Household 74,Household 115,Household 126,Household 136,Household 145,Household 153,Household 158,Household 162,Household 178,Household 181,Household 182,Household 191,Household 195,Household 198,Household 224,Quantile
14-09-2015 05:00,0.15872574,0.20508453,0.155864722,0.197207121,0.353648624,0.406632432,0.293276747,0.294172202,0.230324049,0.201094977,0.225489399,0.146861445,0.221547753,0.316788949,0.471779369,0.264344442,0.148291149,0.200101076,0.34929816,0.362299022,0.243477621,0.5
14-09-2015 05:15,0.157601293,0.201480869,0.142575425,0.206448456,0.313713947,0.402815655,0.302968922,0.279288905,0.224858842,0.207744437,0.213822414,0.151023482,0.193074473,0.292069597,0.433078168,0.304608342,0.147169659,0.204041268,0.391814556,0.322433498,0.254650485,0.5
14-09-2015 05:30,0.165304457,0.201093393,0.171876018,0.215353905,0.245522697,0.402687905,0.308998737,0.266030598,0.22195895,0.214422027,0.210730677,0.157691226,0.181662985,0.289739892,0.416425647,0.350669684,0.156051716,0.21057372,0.421032217,0.312648583,0.290729693,0.5
14-09-2015 05:45,0.179724005,0.20126723,0.23471252,0.223114699,0.187827316,0.397139103,0.308045082,0.256494365,0.22041792,0.2207506,0.213036225,0.161995208,0.17818425,0.298734205,0.417232509,0.397656694,0.176904511,0.21570143,0.43423598,0.316810372,0.316440401,0.5
14-09-2015 06:00,0.204637142,0.200298166,0.32208632,0.228967625,0.153011811,0.373566018,0.307326828,0.252933483,0.219127598,0.226255361,0.217625674,0.159224772,0.174339631,0.309685124,0.428199599,0.442734723,0.20944001,0.22700426,0.434363686,0.314536973,0.315616486,0.5
14-09-2015 06:15,0.237418668,0.207103112,0.411697736,0.232257043,0.13462797,0.340723332,0.319612789,0.261546052,0.2172612,0.230563139,0.225418782,0.15280054,0.174599547,0.315630746,0.460925137,0.483770756,0.246745282,0.260229175,0.431337839,0.306385095,0.309163468,0.5
14-09-2015 06:30,0.25651094,0.231729648,0.474358195,0.232461016,0.126116001,0.320248365,0.346799628,0.278548899,0.214982844,0.232644482,0.237279975,0.147350429,0.185079315,0.311063375,0.499619773,0.515097509,0.274746891,0.324216772,0.425925256,0.299312895,0.313888842,0.5
14-09-2015 06:45,0.245710551,0.280194917,0.49650365,0.229276173,0.1273202,0.321784385,0.378392153,0.290324437,0.213488843,0.230748084,0.245228507,0.142330369,0.200861186,0.295015743,0.493836895,0.527228553,0.282561586,0.409419353,0.416373397,0.293574047,0.312090281,0.5
14-09-2015 07:00,0.219927356,0.346483483,0.491554159,0.222835853,0.146233452,0.331107802,0.402965581,0.291233276,0.213402349,0.224236809,0.23901673,0.138250637,0.209478622,0.273920685,0.431675054,0.51430113,0.270340341,0.485330712,0.419756929,0.283230626,0.286405177,0.5
14-09-2015 07:15,0.203507023,0.396256935,0.487671719,0.213730647,0.193850208,0.326529218,0.417233253,0.288062884,0.214064883,0.214343085,0.219225306,0.140175253,0.206175815,0.263286716,0.359878939,0.482131743,0.245673464,0.523450506,0.457372142,0.260553395,0.245544247,0.5
