Datetime,Household 3,Household 5,Household 7,Household 8,Household 9,Household 10,Household 12,Household 14,Household 15,Household 16,Household 17,Household 23,Household 26,Household 28,Household 29,Household 32,Household 35,Household 37,Household 38,Household 40,Household 44,Household 62,Household 63,Household 66,Household 69,Household 73,Household 76,Household 80,Household 81,Household 82,Household 83,Household 84,Household 85,Household 86,Household 90,Household 103,Household 105,Household 113,Household 120,Household 122,Household 128,Household 131,Household 132,Household 141,Household 142,Household 165,Household 200,Household 201,Household 204,Household 211,Household 212,Household 225,Quantile
14-09-2015 00:15,0.027046452,0.032290711,0.057428755,0.076895718,0.076434432,0.090995955,0.051124913,0.019710736,0.054739974,0.039890868,0.059166803,0.04299793,0.049581241,0.076707383,0.043421344,0.036498768,0.034931694,0.027438738,0.056655557,0.04726797,0.052194673,0.051805772,0.042414173,0.02073375,0.028475325,0.086417362,0.027394532,0.029544407,0.047629262,0.032043858,0.06883697,0.043429788,0.069833041,0.103561053,0.041408144,0.038122383,0.04146865,0.026616043,0.03923831,0.027872029,0.028620625,0.031720367,0.053155115,0.084344566,0.066612348,0.075096313,0.029111968,0.079147354,0.044655546,0.033556895,0.416599455,0.081053732,0.5
14-09-2015 00:30,0.027692379,0.031469742,0.057221359,0.072823443,0.075389832,0.085479065,0.05113594,0.019333575,0.050918048,0.039439266,0.062401511,0.038907835,0.044654307,0.071968447,0.043409069,0.033961551,0.033359986,0.027083179,0.055309802,0.046879119,0.049399996,0.049496198,0.043134423,0.023153157,0.030543815,0.083253023,0.027155046,0.02874444,0.046688536,0.038806454,0.065360686,0.044551423,0.067667644,0.096878715,0.040628918,0.038276095,0.041477916,0.025885572,0.039745665,0.03132588,0.030179206,0.032407084,0.050941155,0.079717138,0.066537884,0.074545268,0.028859949,0.073451517,0.044418314,0.063739038,0.379000241,0.078898137,0.5
14-09-2015 00:45,0.027954295,0.03072662,0.056344806,0.069002402,0.074870932,0.075002342,0.051076098,0.019437016,0.04634685,0.0399319,0.065008881,0.035358887,0.039194934,0.066630578,0.042652718,0.03231407,0.032908043,0.027531289,0.054073255,0.046162777,0.04615335,0.047058199,0.043465751,0.025317199,0.031353325,0.081025427,0.02822279,0.027746381,0.04472152,0.043274526,0.06307338,0.045209637,0.065025367,0.087282249,0.040312629,0.03802505,0.041072418,0.02620778,0.039477466,0.036511094,0.031312377,0.032254344,0.050110752,0.077029257,0.0688572,0.07399614,0.028831686,0.071016188,0.044754732,0.140246617,0.316335548,0.078715979,0.5
14-09-2015 01:00,0.027432512,0.030822169,0.054367417,0.067016304,0.074935449,0.062497013,0.051048815,0.020117047,0.041779617,0.041346291,0.066048815,0.033769377,0.036437655,0.062595627,0.042072212,0.032866453,0.0338001,0.028393443,0.054087706,0.0453266,0.042905604,0.045567467,0.042924206,0.02860415,0.03045054,0.078999555,0.0309033,0.027331854,0.042098327,0.042214134,0.062411249,0.045766728,0.062801263,0.076572028,0.040099948,0.037311457,0.040033132,0.027940423,0.037911455,0.040878622,0.031852392,0.031087998,0.051422413,0.078676858,0.075175761,0.0748418,0.028854284,0.073419345,0.046061252,0.280567701,0.236965015,0.081876138,0.5
14-09-2015 01:15,0.026224907,0.031789449,0.051709594,0.066927452,0.075026223,0.053384295,0.051054066,0.020841766,0.038062234,0.042623391,0.064563107,0.03418452,0.037026351,0.060709198,0.043463216,0.035205348,0.034322297,0.028250203,0.055238937,0.044619675,0.040211809,0.044707828,0.042198785,0.035867054,0.02878211,0.076022205,0.036843954,0.027695663,0.039112547,0.03653153,0.061880645,0.046621572,0.061339627,0.06838507,0.039368182,0.036700466,0.038194845,0.030276775,0.035742745,0.040986289,0.032113361,0.02951017,0.054637286,0.082532281,0.08402201,0.077643378,0.028717675,0.079374853,0.049026531,0.443860506,0.165533096,0.08611014,0.5
14-09-2015 01:30,0.024754471,0.032111806,0.049843598,0.067317722,0.074692169,0.049675024,0.050977862,0.020994923,0.035490375,0.042399297,0.059618664,0.034475368,0.03838203,0.060093959,0.047530089,0.036784999,0.032822007,0.026945979,0.05575277,0.044508786,0.037911099,0.043805848,0.042275094,0.047824732,0.026835221,0.071898437,0.053284577,0.028775543,0.035303105,0.031415002,0.060225002,0.047216378,0.0593711,0.065485445,0.038212429,0.036784392,0.03519966,0.032317741,0.034713025,0.037052031,0.031817111,0.028951525,0.058665612,0.083350752,0.09013956,0.081111554,0.028265955,0.085153668,0.059509667,0.531246113,0.119975163,0.086891543,0.5
14-09-2015 01:45,0.02338853,0.03088032,0.049556006,0.067986549,0.073972092,0.048520725,0.050810683,0.020841801,0.034182424,0.040527512,0.051186472,0.033045459,0.03799754,0.059949181,0.053278836,0.036132949,0.030473619,0.026199815,0.054529619,0.045721578,0.03520196,0.043776884,0.042236282,0.059007801,0.023595658,0.067181693,0.087683731,0.031179022,0.030114462,0.030699666,0.05793354,0.04729563,0.055602516,0.06912031,0.037827855,0.037486754,0.031038475,0.034127198,0.036106712,0.032638779,0.03073529,0.030386854,0.062438019,0.080143515,0.089494456,0.084838515,0.027509349,0.08830889,0.097710886,0.484261277,0.097195235,0.083441356,0.5
14-09-2015 02:00,0.022651939,0.029331925,0.050087621,0.069346714,0.072857232,0.046772731,0.050798226,0.02088824,0.034169176,0.039205253,0.041355998,0.032376128,0.034652557,0.059735492,0.061596322,0.034781133,0.029698499,0.026815149,0.052189808,0.048309244,0.032095116,0.045147277,0.040585798,0.06175109,0.019469885,0.062205284,0.128331156,0.034597712,0.024596666,0.033145274,0.055549171,0.04751169,0.05139827,0.079563225,0.041920235,0.038462971,0.026959642,0.035716719,0.03986847,0.030442379,0.029450134,0.034532342,0.065468305,0.077319307,0.083731056,0.091935598,0.026620622,0.089562975,0.192029537,0.351325661,0.086804968,0.078966296,0.5
14-09-2015 02:15,0.023315836,0.028633572,0.050984113,0.069998322,0.071161427,0.043993767,0.05151129,0.021014132,0.034704194,0.044426398,0.033821351,0.039805595,0.029980083,0.058667347,0.079693085,0.034597679,0.030707019,0.028202967,0.049276005,0.051369714,0.029845551,0.046462704,0.039857405,0.054703363,0.018498466,0.057377565,0.142531713,0.036841943,0.021278882,0.035234413,0.053182805,0.047881925,0.049177559,0.094754509,0.057977086,0.040194943,0.024835406,0.036316514,0.044747375,0.030801097,0.028197233,0.042729376,0.068609049,0.077899218,0.077509601,0.107095637,0.025927144,0.089400069,0.336586636,0.227536336,0.087032675,0.075182376,0.5
14-09-2015 02:30,0.025546879,0.028516944,0.053165209,0.068846762,0.069024355,0.040975857,0.054395648,0.021793184,0.035694314,0.068945438,0.032424808,0.063637983,0.029873036,0.057195462,0.11562303,0.035165864,0.032419089,0.030687929,0.045407816,0.055047065,0.028864198,0.047270149,0.047870839,0.043805756,0.026285438,0.054897161,0.113544871,0.037053736,0.021057119,0.036488128,0.051798641,0.048478,0.048724486,0.10944194,0.091354317,0.044756462,0.025288056,0.03571177,0.048538328,0.032990298,0.02671333,0.054530662,0.07533825,0.080559074,0.073324175,0.132516677,0.026101635,0.088494969,0.467408727,0.16881719,0.101100441,0.071454955,0.5
