Datetime,Household 6,Household 19,Household 20,Household 41,Household 47,Household 78,Household 88,Household 97,Household 112,Household 123,Household 124,Household 127,Household 137,Household 166,Household 177,Household 192,Household 199,Quantile
14-09-2015 06:00,0.12078745,0.090184103,0.159142617,0.172566101,0.131227272,0.088557114,0.052348154,0.179857767,0.149103295,0.081397937,0.125005204,0.097087481,0.138089899,0.055308596,0.069067624,0.161441677,0.091823097,0.5
14-09-2015 06:15,0.122771065,0.086311553,0.173975272,0.141857181,0.118926076,0.100902368,0.049518313,0.189183245,0.18145806,0.083150755,0.128636286,0.092933426,0.173207737,0.056499883,0.070840824,0.153067435,0.114780178,0.5
14-09-2015 06:30,0.12683523,0.085798466,0.195471452,0.130761865,0.101238103,0.129611803,0.047441853,0.182891958,0.194224107,0.084169325,0.132702445,0.091530119,0.203036103,0.058320871,0.073585619,0.146826942,0.142672438,0.5
14-09-2015 06:45,0.131678551,0.086682413,0.215363511,0.129003328,0.08710619,0.172502766,0.047745434,0.167758229,0.176947733,0.079896743,0.128616044,0.091545561,0.220207341,0.05873315,0.077083559,0.14485198,0.149981665,0.5
14-09-2015 07:00,0.135061986,0.088186905,0.22648406,0.130505625,0.079275761,0.213288197,0.050589839,0.154187083,0.149067413,0.073949601,0.117619928,0.095530806,0.218567609,0.057218082,0.081544977,0.149735015,0.127871366,0.5
14-09-2015 07:15,0.13622009,0.089762103,0.229967147,0.134239581,0.074538788,0.232406867,0.053065919,0.148809863,0.130324362,0.076495969,0.10443732,0.10396342,0.199253685,0.053949249,0.085382654,0.159662059,0.09752025,0.5
14-09-2015 07:30,0.139417571,0.090187692,0.233630425,0.141543516,0.071371184,0.228234115,0.052515116,0.153111282,0.120351064,0.094261528,0.088582595,0.114655355,0.178110218,0.050455299,0.086051648,0.168463902,0.081526871,0.5
14-09-2015 07:45,0.152941166,0.089867245,0.243920614,0.155612218,0.073347602,0.220013711,0.050303704,0.164305584,0.113214533,0.122063327,0.072962182,0.123848486,0.170545928,0.051503157,0.083714532,0.172822848,0.080159743,0.5
14-09-2015 08:00,0.181291756,0.090636229,0.258970441,0.178944586,0.081061353,0.232929635,0.050085631,0.178669727,0.110859633,0.14377245,0.067385051,0.129812192,0.177148966,0.061883176,0.080735693,0.175965099,0.081559528,0.5
14-09-2015 08:15,0.219106205,0.093573786,0.269798198,0.207365372,0.090476366,0.275052877,0.053411378,0.194051512,0.117570047,0.152835971,0.078693229,0.137524113,0.18803227,0.083294258,0.078476984,0.18068391,0.080409452,0.5
14-09-2015 08:30,0.249812524,0.09830466,0.268885183,0.226868675,0.101327822,0.320460991,0.057600441,0.207251006,0.131393252,0.157504865,0.101647524,0.152478634,0.191285784,0.108276397,0.077483349,0.182654852,0.079942484,0.5
14-09-2015 08:45,0.257099572,0.102819341,0.257338291,0.228745151,0.117213275,0.332807465,0.059625317,0.213055158,0.14452309,0.15574828,0.122690737,0.169021011,0.183252223,0.117840193,0.080415862,0.174736557,0.081039728,0.5
14-09-2015 09:00,0.242719142,0.105233421,0.241941022,0.225203721,0.139686092,0.308403405,0.061891088,0.209407396,0.151098605,0.138472682,0.135284813,0.175325326,0.172484778,0.10324007,0.094158251,0.156438536,0.079654722,0.5
14-09-2015 09:15,0.223090002,0.105773022,0.226084527,0.230918604,0.167212833,0.274867827,0.068504057,0.199783281,0.1514538,0.113959782,0.142938231,0.169591472,0.166006335,0.082141905,0.128777915,0.134961646,0.075194099,0.5
14-09-2015 09:30,0.211715463,0.105270952,0.206685026,0.237571902,0.194441502,0.25708793,0.077853758,0.188103654,0.147810597,0.096110048,0.146396487,0.161711055,0.160748504,0.078738952,0.1938202,0.117044242,0.072368051,0.5
14-09-2015 09:45,0.211956456,0.1044017,0.180412824,0.228374029,0.213877106,0.265191131,0.086329696,0.174590442,0.143986131,0.085815653,0.145881744,0.161797211,0.153219627,0.109184522,0.287610569,0.105579554,0.075470426,0.5
14-09-2015 10:00,0.218529554,0.104045499,0.150860595,0.205259907,0.224006339,0.301032124,0.093095432,0.159666211,0.152783399,0.078360726,0.147478339,0.17116286,0.144542571,0.18428182,0.381610472,0.102183766,0.083804903,0.5
14-09-2015 10:15,0.221664122,0.104043817,0.12626112,0.180667285,0.231543581,0.350211214,0.095651896,0.147874097,0.192228907,0.0715577,0.150297283,0.182615573,0.135626143,0.290780775,0.434952448,0.106695529,0.091101155,0.5
14-09-2015 10:30,0.215289955,0.10453146,0.110935822,0.156975557,0.242314293,0.376669421,0.091289686,0.142718373,0.258457643,0.06564048,0.146133303,0.19038401,0.126831852,0.379180352,0.436448149,0.116319838,0.092819759,0.5
14-09-2015 10:45,0.199580307,0.106239388,0.103179648,0.130095171,0.252541656,0.354583354,0.083019178,0.142108553,0.307704641,0.061212504,0.135025419,0.195175686,0.119413568,0.406326536,0.405846604,0.126649516,0.092475358,0.5
14-09-2015 11:00,0.175310446,0.10735226,0.099608068,0.10171619,0.250679508,0.296914469,0.075375188,0.141864383,0.297026021,0.056628482,0.123693945,0.196051869,0.113798704,0.375152874,0.357544648,0.132207948,0.095934334,0.5
14-09-2015 11:15,0.145934409,0.106641819,0.098022517,0.078770575,0.228735333,0.23269901,0.070399957,0.139147643,0.240339655,0.051372751,0.116884265,0.186548656,0.109834544,0.313844028,0.294405355,0.129338054,0.10463959,0.5
14-09-2015 11:30,0.120434185,0.10690144,0.09728886,0.065182528,0.191188906,0.178017682,0.069196204,0.132996419,0.186762791,0.048916537,0.116534051,0.165801431,0.107275964,0.247156015,0.227396208,0.119437037,0.116153836,0.5
14-09-2015 11:45,0.103961303,0.1094958,0.096739859,0.058673293,0.150962249,0.137840657,0.070887772,0.124776338,0.159585566,0.051173114,0.120847828,0.143456799,0.104853504,0.19225275,0.17338784,0.10711882,0.126779831,0.5
14-09-2015 12:00,0.093715126,0.112151318,0.096140481,0.055092508,0.118145303,0.11252982,0.072767227,0.116971721,0.150084467,0.055973712,0.125689662,0.128095243,0.101560226,0.156059124,0.138737566,0.096075551,0.134164131,0.5
14-09-2015 12:15,0.067325072,0.095580648,0.098578511,0.053291623,0.024687102,0.072000066,0.055727527,0.087449083,0.165238456,0.038366752,0.098386362,0.100638485,0.057843244,0.147047126,0.07707677,0.076573779,0.190196759,0.5
14-09-2015 12:30,0.069480123,0.098595587,0.099302082,0.052340369,0.024043434,0.072207878,0.057000437,0.092356121,0.184773948,0.037521999,0.0955934,0.099654997,0.057447445,0.148261831,0.075873218,0.080005623,0.170124539,0.5
14-09-2015 12:45,0.079140437,0.099347448,0.099640469,0.051428897,0.024759025,0.073273589,0.057871216,0.104406786,0.180693849,0.037740661,0.09539895,0.098339626,0.055825778,0.139700785,0.075302627,0.080858445,0.149653584,0.5
14-09-2015 13:00,0.103810864,0.098362391,0.099255909,0.050398487,0.027392415,0.075231187,0.058773483,0.127217555,0.145812864,0.039488215,0.100175354,0.096730584,0.054563205,0.121243582,0.075348061,0.077599304,0.134106833,0.5
14-09-2015 13:15,0.140475548,0.097030433,0.098286272,0.048836181,0.030458217,0.076693702,0.058635388,0.154656216,0.100235355,0.04134687,0.108093617,0.096562622,0.05582347,0.102505788,0.07558019,0.072045791,0.127767463,0.5
14-09-2015 13:30,0.170868497,0.095299573,0.097131498,0.04706018,0.031265728,0.076254359,0.057429689,0.168452516,0.07036718,0.041373213,0.113450987,0.099977363,0.059690349,0.091247664,0.076275477,0.06826769,0.129523513,0.5
14-09-2015 13:45,0.180738018,0.092323027,0.096142988,0.045808509,0.029398522,0.074659633,0.058432812,0.157878513,0.060462557,0.039772682,0.11228171,0.105333856,0.064917247,0.086187523,0.078005493,0.068601109,0.132014934,0.5
14-09-2015 14:00,0.17636133,0.088565965,0.095427323,0.045252444,0.027884603,0.074425268,0.063856263,0.13367016,0.058682041,0.038514479,0.106145055,0.1082759,0.071508507,0.084899719,0.080560288,0.07284174,0.129339527,0.5
14-09-2015 14:15,0.172139734,0.085486052,0.094567454,0.045390489,0.031196404,0.077609974,0.071850808,0.111921006,0.056234637,0.03898335,0.10103158,0.1077666,0.0797182,0.086453109,0.084223503,0.081101487,0.125684437,0.5
14-09-2015 14:30,0.17347846,0.083733857,0.093505561,0.046519224,0.044335947,0.085194742,0.079500921,0.098029191,0.052882021,0.040951658,0.102528957,0.107605343,0.087021841,0.087463598,0.091082352,0.094616893,0.129300667,0.5
14-09-2015 14:45,0.179038718,0.083289606,0.093814344,0.049943781,0.071478709,0.099071418,0.085560716,0.089780828,0.050982293,0.043282875,0.110152099,0.111948074,0.088877763,0.087145385,0.102757377,0.112221717,0.139775739,0.5
